video_id,gesture_name,new_label,source_split,assigned_split
62442,Swipe Left,0,train,train_70
85559,Stop Sign,3,train,train_70
69581,Swipe Left,0,train,train_70
8068,Swipe Right,1,train,train_70
123944,Stop Sign,3,train,train_70
97993,Rolling Hand Forward,2,train,train_70
34028,Stop Sign,3,train,train_70
26994,Rolling Hand Forward,2,train,train_70
49028,Stop Sign,3,train,train_70
14427,Rolling Hand Forward,2,train,train_70
147122,Swipe Left,0,train,train_70
59602,Rolling Hand Forward,2,train,train_70
103050,Rolling Hand Forward,2,train,train_70
120622,Swipe Right,1,train,train_70
89055,Swipe Left,0,train,train_70
69133,Stop Sign,3,train,train_70
71017,Swipe Left,0,train,train_70
66892,Rolling Hand Forward,2,train,train_70
59223,Stop Sign,3,train,train_70
76069,Rolling Hand Forward,2,train,train_70
25730,Swipe Right,1,train,train_70
121303,Swipe Right,1,train,train_70
136498,Swipe Right,1,train,train_70
112710,Swipe Left,0,train,train_70
74540,Swipe Left,0,train,train_70
25293,Swipe Right,1,train,train_70
111794,Swipe Right,1,train,train_70
74595,Swipe Right,1,train,train_70
30077,Swipe Right,1,train,train_70
113107,Swipe Right,1,train,train_70
130961,Swipe Right,1,train,train_70
10813,Stop Sign,3,train,train_70
85377,Swipe Right,1,train,train_70
12832,Swipe Right,1,train,train_70
125580,Stop Sign,3,train,train_70
105367,Stop Sign,3,train,train_70
95448,Swipe Left,0,train,train_70
130846,Swipe Right,1,train,train_70
122558,Rolling Hand Forward,2,train,train_70
32672,Stop Sign,3,train,train_70
75125,Swipe Right,1,train,train_70
15524,Rolling Hand Forward,2,train,train_70
52420,Swipe Left,0,train,train_70
30321,Stop Sign,3,train,train_70
72414,Swipe Left,0,train,train_70
48585,Stop Sign,3,train,train_70
39319,Swipe Left,0,train,train_70
106430,Stop Sign,3,train,train_70
36132,Swipe Right,1,train,train_70
12532,Swipe Left,0,train,train_70
100643,Rolling Hand Forward,2,train,train_70
3435,Swipe Right,1,train,train_70
18849,Swipe Left,0,train,train_70
127224,Rolling Hand Forward,2,train,train_70
136536,Rolling Hand Forward,2,train,train_70
9274,Rolling Hand Forward,2,train,train_70
146769,Swipe Left,0,train,train_70
75481,Swipe Right,1,train,train_70
117494,Rolling Hand Forward,2,train,train_70
49516,Swipe Right,1,train,train_70
80859,Rolling Hand Forward,2,train,train_70
37756,Swipe Right,1,train,train_70
52131,Swipe Left,0,train,train_70
121687,Stop Sign,3,train,train_70
147928,Stop Sign,3,train,train_70
57610,Swipe Right,1,train,train_70
135901,Swipe Left,0,train,train_70
76073,Swipe Right,1,train,train_70
1857,Stop Sign,3,train,train_70
85203,Stop Sign,3,train,train_70
136490,Stop Sign,3,train,train_70
82757,Stop Sign,3,train,train_70
33013,Rolling Hand Forward,2,train,train_70
99845,Swipe Right,1,train,train_70
78787,Stop Sign,3,train,train_70
142028,Swipe Right,1,train,train_70
30584,Rolling Hand Forward,2,train,train_70
68518,Swipe Left,0,train,train_70
12467,Rolling Hand Forward,2,train,train_70
56135,Rolling Hand Forward,2,train,train_70
23059,Stop Sign,3,train,train_70
82200,Rolling Hand Forward,2,train,train_70
126631,Swipe Left,0,train,train_70
123525,Swipe Right,1,train,train_70
128341,Rolling Hand Forward,2,train,train_70
9782,Swipe Right,1,train,train_70
103459,Swipe Right,1,train,train_70
100797,Stop Sign,3,train,train_70
60772,Stop Sign,3,train,train_70
1036,Swipe Right,1,train,train_70
132952,Swipe Right,1,train,train_70
715,Swipe Left,0,train,train_70
78854,Swipe Right,1,train,train_70
132281,Rolling Hand Forward,2,train,train_70
59177,Swipe Right,1,train,train_70
104590,Swipe Right,1,train,train_70
143944,Swipe Right,1,train,train_70
81257,Stop Sign,3,train,train_70
82205,Stop Sign,3,train,train_70
88110,Swipe Left,0,train,train_70
58460,Rolling Hand Forward,2,train,train_70
39773,Stop Sign,3,train,train_70
47902,Rolling Hand Forward,2,train,train_70
130339,Swipe Right,1,train,train_70
30146,Stop Sign,3,train,train_70
91808,Swipe Left,0,train,train_70
2350,Rolling Hand Forward,2,train,train_70
13591,Rolling Hand Forward,2,train,train_70
120592,Swipe Right,1,train,train_70
316,Rolling Hand Forward,2,train,train_70
3644,Swipe Right,1,train,train_70
110591,Stop Sign,3,train,train_70
63881,Swipe Right,1,train,train_70
72825,Swipe Left,0,train,train_70
41932,Swipe Right,1,train,train_70
57355,Stop Sign,3,train,train_70
71558,Swipe Left,0,train,train_70
15937,Stop Sign,3,train,train_70
35934,Stop Sign,3,train,train_70
37511,Swipe Right,1,train,train_70
33749,Rolling Hand Forward,2,train,train_70
101707,Stop Sign,3,train,train_70
103896,Stop Sign,3,train,train_70
56769,Rolling Hand Forward,2,train,train_70
44552,Swipe Right,1,train,train_70
48471,Swipe Left,0,train,train_70
16837,Stop Sign,3,train,train_70
87119,Swipe Right,1,train,train_70
104234,Swipe Right,1,train,train_70
45296,Swipe Right,1,train,train_70
13535,Swipe Right,1,train,train_70
26594,Swipe Right,1,train,train_70
28661,Stop Sign,3,train,train_70
47261,Rolling Hand Forward,2,train,train_70
140612,Swipe Left,0,train,train_70
102242,Swipe Left,0,train,train_70
97625,Rolling Hand Forward,2,train,train_70
84215,Rolling Hand Forward,2,train,train_70
101697,Swipe Right,1,train,train_70
26100,Rolling Hand Forward,2,train,train_70
72829,Swipe Right,1,train,train_70
74663,Rolling Hand Forward,2,train,train_70
142598,Swipe Left,0,train,train_70
123159,Rolling Hand Forward,2,train,train_70
142930,Swipe Left,0,train,train_70
67661,Swipe Left,0,train,train_70
43365,Rolling Hand Forward,2,train,train_70
12894,Stop Sign,3,train,train_70
69377,Stop Sign,3,train,train_70
38926,Swipe Left,0,train,train_70
104521,Stop Sign,3,train,train_70
45544,Rolling Hand Forward,2,train,train_70
62315,Swipe Right,1,train,train_70
13500,Rolling Hand Forward,2,train,train_70
18519,Swipe Left,0,train,train_70
35893,Stop Sign,3,train,train_70
124382,Swipe Left,0,train,train_70
50896,Stop Sign,3,train,train_70
94726,Stop Sign,3,train,train_70
62544,Swipe Right,1,train,train_70
42481,Stop Sign,3,train,train_70
29805,Swipe Left,0,train,train_70
119166,Stop Sign,3,train,train_70
26706,Swipe Left,0,train,train_70
102438,Rolling Hand Forward,2,train,train_70
60527,Rolling Hand Forward,2,train,train_70
58682,Swipe Left,0,train,train_70
33531,Swipe Right,1,train,train_70
5940,Swipe Left,0,train,train_70
66240,Rolling Hand Forward,2,train,train_70
79603,Swipe Right,1,train,train_70
9702,Stop Sign,3,train,train_70
100152,Swipe Right,1,train,train_70
23870,Swipe Left,0,train,train_70
116530,Swipe Right,1,train,train_70
144225,Rolling Hand Forward,2,train,train_70
88945,Swipe Right,1,train,train_70
139047,Rolling Hand Forward,2,train,train_70
120602,Swipe Left,0,train,train_70
69062,Swipe Right,1,train,train_70
14972,Rolling Hand Forward,2,train,train_70
102744,Rolling Hand Forward,2,train,train_70
37726,Rolling Hand Forward,2,train,train_70
27354,Rolling Hand Forward,2,train,train_70
37114,Stop Sign,3,train,train_70
132264,Swipe Right,1,train,train_70
144627,Swipe Right,1,train,train_70
20565,Swipe Left,0,train,train_70
93237,Stop Sign,3,train,train_70
136872,Rolling Hand Forward,2,train,train_70
105365,Swipe Right,1,train,train_70
110502,Stop Sign,3,train,train_70
25756,Stop Sign,3,train,train_70
122048,Stop Sign,3,train,train_70
121134,Stop Sign,3,train,train_70
25118,Stop Sign,3,train,train_70
10422,Stop Sign,3,train,train_70
37096,Rolling Hand Forward,2,train,train_70
63139,Rolling Hand Forward,2,train,train_70
60072,Stop Sign,3,train,train_70
83665,Stop Sign,3,train,train_70
80588,Swipe Right,1,train,train_70
85747,Stop Sign,3,train,train_70
128159,Rolling Hand Forward,2,train,train_70
12984,Swipe Right,1,train,train_70
13075,Swipe Right,1,train,train_70
77405,Swipe Right,1,train,train_70
105779,Swipe Left,0,train,train_70
46397,Swipe Left,0,train,train_70
6346,Swipe Left,0,train,train_70
103926,Swipe Left,0,train,train_70
124639,Rolling Hand Forward,2,train,train_70
40312,Swipe Left,0,train,train_70
112424,Rolling Hand Forward,2,train,train_70
94634,Stop Sign,3,train,train_70
31470,Stop Sign,3,train,train_70
80123,Swipe Right,1,train,train_70
92819,Swipe Left,0,train,train_70
120299,Stop Sign,3,train,train_70
119557,Rolling Hand Forward,2,train,train_70
18369,Rolling Hand Forward,2,train,train_70
113231,Rolling Hand Forward,2,train,train_70
53243,Stop Sign,3,train,train_70
65271,Swipe Right,1,train,train_70
27017,Rolling Hand Forward,2,train,train_70
138762,Swipe Right,1,train,train_70
108352,Swipe Left,0,train,train_70
7257,Swipe Left,0,train,train_70
71439,Rolling Hand Forward,2,train,train_70
138384,Swipe Left,0,train,train_70
127011,Swipe Left,0,train,train_70
26441,Stop Sign,3,train,train_70
3854,Swipe Left,0,train,train_70
123977,Stop Sign,3,train,train_70
13357,Rolling Hand Forward,2,train,train_70
60529,Stop Sign,3,train,train_70
66115,Swipe Right,1,train,train_70
68144,Swipe Right,1,train,train_70
28695,Rolling Hand Forward,2,train,train_70
92071,Rolling Hand Forward,2,train,train_70
79727,Swipe Left,0,train,train_70
26868,Swipe Left,0,train,train_70
45562,Stop Sign,3,train,train_70
82096,Swipe Left,0,train,train_70
84736,Rolling Hand Forward,2,train,train_70
114587,Rolling Hand Forward,2,train,train_70
95849,Swipe Left,0,train,train_70
96816,Swipe Right,1,train,train_70
20730,Stop Sign,3,train,train_70
108048,Rolling Hand Forward,2,train,train_70
43162,Swipe Left,0,train,train_70
123690,Rolling Hand Forward,2,train,train_70
134623,Stop Sign,3,train,train_70
113505,Stop Sign,3,train,train_70
58722,Swipe Left,0,train,train_70
123071,Stop Sign,3,train,train_70
126410,Swipe Right,1,train,train_70
103599,Swipe Left,0,train,train_70
102816,Swipe Right,1,train,train_70
97360,Stop Sign,3,train,train_70
46480,Stop Sign,3,train,train_70
144391,Swipe Right,1,train,train_70
140759,Rolling Hand Forward,2,train,train_70
23830,Rolling Hand Forward,2,train,train_70
38078,Swipe Right,1,train,train_70
23427,Swipe Right,1,train,train_70
112655,Rolling Hand Forward,2,train,train_70
79088,Stop Sign,3,train,train_70
116975,Swipe Right,1,train,train_70
5659,Rolling Hand Forward,2,train,train_70
70237,Swipe Left,0,train,train_70
53148,Rolling Hand Forward,2,train,train_70
65892,Swipe Right,1,train,train_70
42013,Rolling Hand Forward,2,train,train_70
114951,Swipe Left,0,train,train_70
101812,Swipe Left,0,train,train_70
51521,Swipe Left,0,train,train_70
138537,Stop Sign,3,train,train_70
94998,Swipe Right,1,train,train_70
40022,Swipe Left,0,train,train_70
20663,Rolling Hand Forward,2,train,train_70
95829,Swipe Left,0,train,train_70
99165,Rolling Hand Forward,2,train,train_70
10899,Stop Sign,3,train,train_70
147835,Stop Sign,3,train,train_70
92679,Stop Sign,3,train,train_70
4730,Stop Sign,3,train,train_70
136723,Swipe Right,1,train,train_70
84220,Swipe Left,0,train,train_70
120126,Swipe Right,1,train,train_70
26515,Swipe Left,0,train,train_70
137354,Stop Sign,3,train,train_70
142526,Swipe Left,0,train,train_70
29783,Rolling Hand Forward,2,train,train_70
29428,Stop Sign,3,train,train_70
109272,Swipe Right,1,train,train_70
110040,Swipe Left,0,train,train_70
90933,Swipe Left,0,train,train_70
85791,Swipe Left,0,train,train_70
33882,Swipe Left,0,train,train_70
67672,Rolling Hand Forward,2,train,train_70
107827,Rolling Hand Forward,2,train,train_70
42618,Stop Sign,3,train,train_70
